surveyid,variable,varname,description,classification,question,responses,values
cqwels_trends_sep_2024,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes , No","1, 2"
cqwels_tlc_oct_2023,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes , No","0, 1"
cqwels_trends_sep_2023,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","1, 2"
cqwels_tlc_mar_2022,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes , No","0, 1"
cqwels_tlc_sep_2022,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_trends_sep_2022,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","1, 2"
aqwels_trends_nov_2021,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"yes, no","0, 1"
cqwels_follow_mar_2021,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_follow_sep_2021,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes , No","0, 1"
cqwels_long_feb_2021,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_trends_sep_2021,b5_c21,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes , No","0, 1"
aqwels_trends_nov_2020,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_long_apr_2020,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"yes, no","0, 1"
cqwels_trends_mar_2020,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_trends_sep_2020,b5_c20,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_trends_sep_2019,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"yes , no","1, 2"
cqwels_tlc_oct_2025,g4new1,lookwork,job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable","0, 1"
cqwels_tlc_sep_2024,g4new1,lookwork,job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable","0, 1"
cqwels_tlc_oct_2023,g4new1,lookwork,job search status,job quality,Are you currently looking for another job?,"Yes , No  , Prefer not to say, Not applicable","0, 1"
cqwels_tlc_mar_2022,g4new1,lookwork,job search status,job quality,Are you currently looking for another job?,"Yes , No  , Prefer not to say, Not applicable","0, 1"
cqwels_tlc_sep_2022,g4new1,lookwork,job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable","0, 1"
cqwels_long_apr_2021,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"yes, no","0, 1"
cqwels_long_apr_2021,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", im still recovering from my workplace injury, in school to train for a different field at this time., was in a car accident, layoff is temporary, 3 week duration, on maternity leave, unable to presently work due to injury, there is no entertainment industry right now, nor private schooling in this area, i have gotten another contract with the same company at the same position. i am just waiting for that contract to start in the next week, i have been accepted at a school board but am waiting for the police check to clear and to see if any jobs will exist after the shutdown., oui, mais je suis a risque covid, ce qui limite mes perspectives., i am looking at what is out there all the time but have seen nothing that i want to do & so will just check back here & there but if after 1 month i have not found something, i will start to worry, my province is locked down so i canaTMt job hunt - although iaTMm trying, on medical, cant work, working on trying to start my own business","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
cqwels_long_feb_2021,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_feb_2021,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", have another farm lined up, home schooling every second day... need to wait for school to return to normal, i am still injured, in school for nursing so that will be my next job when i graduate. but will continue to work until i find a new job., on disability, on maternity leave, permanently disabled, sick leave, i have cancer, starting a business, starting a new business outside of hospitality industry, survey glitched, ultimately perhaps. i am working at personal research and, if i find a means, i may wish to try bringing the findings to others., until theatre's and in person entertainment opens up my job is irrelevant, had psychiatrist send a report to disability over my condition. while i was off 2 1/2 yrs i had immense pain in arms and shoulders the whole time, but the day i actually walked out for the last time... i was able to fluff a pillow and someone could touch my arm or shoulder again. that much stress!!!, je suis en conge d'etudes donc je reprends mon emploi des que ma session finit","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
cqwels_long_jun_2021,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_jun_2021,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", cannot look for other work while on medical leave, haven't lost my job yet, hired at a new job, start july 5, i am staying home caring for our child until september when he will go to school, je me sens trop fatiguee et moins apte a revenir sur le marche du travail regulierement. cet emploi me convient car c'est quelques heures par semaine, mais pour le moment ils sont en restructuration., je reprendrai mon emploi a la fin de ma convalescence. cela est deja prevu, je retourne au etude, je retourne aux etudes dans un domaine connexe (orthopedagogie)., maternity leave, none available, not physically capable as yet to work, unable to work due to injuries, undergoing sickness treatment and can't work, yes but won't be able to start until childcare becomes more available in the fall. not looking to start now just to have leads lined up., on disability","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
cqwels_long_oct_2021,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_oct_2021,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", b, i have found another job. i start november 1st., in school, je suis etudiant, je travaille dans cette endroit a temps partiel jusqu'en janvier., on disability, still have maternity leave for 2 more months, still injured, waiting for surgery, disabled, there is no work in my field, too old / rural area","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
cqwels_long_apr_2020,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"yes, no","0, 1"
cqwels_long_apr_2020,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", permanently disabled, cant find work bc of covid, health issues, hope restrictions removed, not really, restaurants jobs are hard to come by at the moment, i would but covid is a problem. im immunocompromised because of corticosteroids, have another job lined up as soon as the hiring freeze lets up, temporarily not looking due to covid 19 lock down, unable to due to current virus situation., i am my 88 yr old mothers caregiver, so looking for work now would put me at a greater risk of bringing the coronavirus home and it is not worth the risk to me., have not lost job just covid 19 related, cest juste temporaire durant la crise du covid-19, no, due to covid, jy reflechi, have a job starting in july, nobody can hire our profession, returning to school to further education","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17"
cqwels_long_aug_2020,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_aug_2020,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", am taking a wait and see position as i don't feel schools will be all that safe with the type of protocols in place, no extra funding for schools to help with those protocols and the ease of spread of covid, child is not going to school in the fall and i will go back to full time homemaker since husband is in school, going back to school instead, i am called back to work for school start up, i am in a rehab program and not looking for work at this time, i am looking for another job in the same profession as per my explanation as a freelance designer. not looking for a different job., i am presently doing independent research, which is very engaging. if my health improves at some point i may use new insights from this research to restructure my studio practice., i'm a student., i'm still in rehab for my injuries, i have additional surgeries pending. i'm not sure when i will be given the go-ahead to resume some type of work. i'm currently on wcb benefits as i lost most of the fingers on my dominant hand so its very unclear as to what kind of job i'll be able to do in the future., invalidite, je suis a la recherche d'un stage remunere a temps plein pour ma session d'automne., my regular job resumes on august 31, on maternity leave, trying to write freelance., wcb, je ne sais pas. je pese les pour et les contre, puisque je retourne a l'ecole., long term dissability, no large music ensembles are able to perform, training for a new better job, waiting for surgery, work second job when possible - multi level marketing","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21"
cqwels_long_dec_2020,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_dec_2020,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", cannot look for work while on leave., disability pension. besides, the great god government has declared that we all have to stay at home, wearing face diapers, and cowering in fear every time anyone a hundred miles away coughs., disabled, en attente d un changement de prothese du genou, full time student, have another lined up for spring, i am, but not for a few months., i won't be looking until i'm not having to home school my children., i'm currently a university student., in school until april, injured, injury can't work, je suis en stage remunere., just of temporary due to surgery, on maternity leave so no need to look for a job, still considering looking for employment in the new year, wife was on maternity leave, since i was laid off, i took over childcare, christmas break....i will look for another gig in jan/feb, high risk category for covid - and no industry in which to seek employment, injury recovery disability is a reality, they closed down, unable to work presently","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"
cqwels_long_jun_2020,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_jun_2020,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", business owner, disabled, going to apply for disability, hoping to be called back but do check out jobs banks., i am my 89 year old mother's caregiver so i have to weigh the risk of working against the real risk of bringing home the virus and causing my mother to get ill and quite likely die., i have a job to go to. waiting on the hiring freeze to come off due to covid 19., i have to be issued instructions from my employer first (contract), i would like to continue to do what i believe is a valuable service to people and am adapting my processes and frameworks to offer it in virtual/online settings., if i can do it and meet the needs of my autistic son... that is main criteria which is why losing job is so hard..., im currently still rehabbing from the injury and may still require additional surgery, matern, no work in the field, not until done school, self employed, student, there is currently no work in my area, very limited job market in my community., work for a hiring hall that had all jobs put on hold because of large number of workers needed., kjhgl, medical but probably will be forced too, none, still at the smae job, we have a dairy farm so we all work here when not working elsewhere","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23"
cqwels_long_may_2020,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_may_2020,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", i have been called back to work as of june 8, awaiting news on status of reopening., cannot start something new now bc i have to watch my son, given the health risks i might expose my mother to during the pandemic, the risk is too high to warrant working with the public, i am not actively looking but i am waiting for recruiting to re-open for a law enforcement job and when it does i will be applying, i most likel have a job to go to but unsure of when, i'm on wcb due to workplace injury. ive lost some or all of the fingers on my dominant hand, not sure what comes after more surgery and rehab on it., i'm on sick leave, i'll go back as soon as i'm well enough., je ne peux pas travailler, je ne sais pas si les conditions de travail (deja desagreables et peu remunere) vont se degrader. dans ce cas il ne ferait pas de difference dans mon salaire de partir pour travailler dans le commerce de detail, qui implique beaucoup moins de responsabilites pour un salaire hebdomadaire equi, je suis en conge de maternite, je retourne au travail a l'automne., je tente de demarrer mon entreprise de trad, je vais prendre ma retraite se j'ai un cancer don je suis a risque eleve, a moins de trouver un teletravail a temps partiel, on disability, on mat leave, on sick leave, peut-etre. si je trouve mieux., self employed, suing current employer for constructive dismi, there is currently no employment in my area, unable to work in the general populace due to a compromised immune system., until the economy in alberta turns around - hopefully with a major change in the federal government - there is very little that i can do change anything., working more at secondary job, in the hopes it will help make up for financial losses of first job., already found alternate job, no jobs, self employment","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26"
cqwels_long_oct_2020,g4new,returnlook,current job search status,job quality,Are you currently looking for another job?,"Yes, No, Prefer not to say, Not applicable (please specify)","0, 1"
cqwels_long_oct_2020,g4newo,returnlook_open,job search other specified,job quality,Are you currently looking for another job?,", already have secondary ""employment"" through multi-level marketing., can't until covid 19 is over, cannot look for other work while on leave, currently in school, disa, disabled, i am home schooling my autistic child because the public school system in bc does not adequately meet his needs and hasn't for many years; however it came to a head this year with covid exposing the cracks in the system., i have acquired a contract and am waiting for it to start, i have been applying for other work for several years but there are no jobs. over 25% of our youth had no work even before covid., i have cancer, i'm trying to farm, in a rehab prog, je suis en stage remunere dans le cadre de mon programme d'etude jusqu'en avril 2021., my work was flexible and virtual as part of a global team. i am a sole caregiver (stay at home daughter) for my mother who has dementia. i cannot work outside the home, so my work was perfect and rare., on disability insurance, parental leave, still injured and need surgery. there is no timeline for when this surgery may happen. it could be a year away., still on maternity leave, still on wcb and rehabilitating. also lost fingers and use of hand so i don't think that i will physically be able to do this type of work again, volunteer work only, was given another position within the company when i return., in a co op program now as a student., not really, i should be as i am getting ei. but i do have a job to go back to when the regulations around covid ease, seasonal work only, they are currently not open because of the covid 19, trying to start my own business","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26"
cqwels_long_jun_2020,sc1w5,workforpay,wave five work status screener,job structure,Are you currently working for pay (either full time or part time)?,"a full-time employee, a part-time employee, a temporary worker (e.g. on-call/casual; paid by temp agency; limited term or contract; seasonal)., a business owner, self-employed (includes free-lance worker, family business, etc.), temporarily laid off; work is suspended; furloughed, unemployed, on disability or sick leave; off due to injury, on maternity or parental leave, a student or in school, retired","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
cqwels_trends_sep_2022,workhomea,workathome_flag,current work from home status,job structure,Are you currently working from home...,"All of the time, Most of the time, Some of the time, A little of the time, None of the time","1, 2, 3, 4, 5"
cqwels_long_apr_2020,b4,sector,employment sector type,job structure,"Are you employed by government, a private company, a non-profit organization, OR are you self-employed or a business owner?","government, a private for-profit business, a non-profit organization, self-employed or business owner","0, 1, 2, 3"
cqwels_trends_mar_2020,b4,sector,employment sector type,job structure,"Are you employed by government, a private company, a non-profit organization, OR are you self-employed or a business owner?","Government (e.g., public schools, postal service, public utilities & transportation), A private for-profit business	, A non-profit organization (e.g., social service agencies, cooperatives that provide utility and other services, private, Self-employed or business owner (e.g., self-employed are often independent contractors, day-workers, consultants, or fre","0, 1, 2, 3"
cqwels_trends_sep_2019,b4,sector,employment sector type,job structure,"Are you employed by government, a private company, a non-profit organization, OR are you self-employed or a business owner?","government (e.g., public schools, postal service, public utilities & transportat, a private for-profit business	, a non-profit organization (e.g., social service agencies, cooperatives that prov, self-employed or business owner (e.g., self-employed are often independent contr","1, 2, 3, 4"
qes_us_jan_2022,wrkgovt,wrkgovt,employer sector type,job structure,Are you employed by the federal state or local government by a private employer or by a non-profit organization?,"Government, Private Employer, Non-Profit Organization, Can’t choose, Prefer not to say, Not applicable – self-employed","1, 2, 3, 4, 5, 6"
messi_can_apr_2025,wrkgovt,wrkgovt,employer sector type,job structure,"Are you employed by the federal, provincial or local government, by a private employer, or by a non-profit organization?","government, private employer, non-profit organization, something else","0, 1, 2, 3"
messi_us_apr_2025,wrkgovt,wrkgovt,employer sector type,job structure,"Are you employed by the federal, state or local government, by a private employer, or by a non-profit organization?","Government, Private Employer, Non-Profit Organization, Not applicable – self-employed, Something else (please specify)","0, 1, 2, 3"
messi_us_apr_2025,wrkgovtother,wrkgovt_other,employer type other specify,job structure,"Are you employed by the federal, state or local government, by a private employer, or by a non-profit organization?",,
cqwels_trends_sep_2019,c1,waypaid,primary pay method,job structure,Are you salaried or paid by the hour?,"salaried, paid by the hour, something else (please specify):","1, 2, 3"
messi_can_apr_2025,wrkslf,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"self-employed, someone else","0, 1"
messi_us_apr_2025,wrkslf,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else","0, 1"
messi_can_may_2024,wrkslf,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else","1, 2"
messi_us_jun_2024,q2,wrkself,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else","1, 2"
messi_us_nov_2023,q10,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else","1, 2"
qes_can_mar_2023,wrkslf,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else","0, 1"
qes_us_feb_2023,wrkslf,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else","1, 2"
qes_us_jan_2022,wrkslf,selfemp,self-employment status,job structure,Are you self-employed or do you work for someone else?,"Self-employed, Someone else, Can’t choose, Prefer not to say","1, 2, 3, 4"
cqwels_trends_sep_2023,b7bcol2,wlc_choose,employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,work-life balance,At my place of employment... Employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","1, 2, 3, 4, 5, 6, 7"
cqwels_tlc_mar_2022,b7bcol2,wlc_choose,employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,work-life balance,At my place of employment... Employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_trends_sep_2022,b7bcol2,wlc_choose,employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,work-life balance,At my place of employment... Employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","1, 2, 3, 4, 5, 6, 7"
cqwels_follow_sep_2021,b7bcol2,wlc_choose,employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,work-life balance,At my place of employment... Employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_long_jun_2021,b7bcol2,wlc_choose,employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,work-life balance,At my place of employment... Employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can?t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_long_oct_2021,b7bcol2,wlc_choose,employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,work-life balance,At my place of employment... Employees have to choose between advancing in their jobs or devoting attention to their family or personal lives.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_trends_sep_2023,b7bcol1,wlc_unfavoured,employees who put their family or personal needs ahead of their jobs are not looked on favorably.,work-life balance,At my place of employment... Employees who put their family or personal needs ahead of their jobs are not looked on favorably.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","1, 2, 3, 4, 5, 6, 7"
cqwels_tlc_mar_2022,b7bcol1,wlc_unfavoured,employees who put their family or personal needs ahead of their jobs are not looked on favorably.,work-life balance,At my place of employment... Employees who put their family or personal needs ahead of their jobs are not looked on favorably.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_trends_sep_2022,b7bcol1,wlc_unfavoured,employees who put their family or personal needs ahead of their jobs are not looked on favorably.,work-life balance,At my place of employment... Employees who put their family or personal needs ahead of their jobs are not looked on favorably.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","1, 2, 3, 4, 5, 6, 7"
cqwels_follow_sep_2021,b7bcol1,wlc_unfavoured,employees who put their family or personal needs ahead of their jobs are not looked on favorably.,work-life balance,At my place of employment... Employees who put their family or personal needs ahead of their jobs are not looked on favorably.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_long_jun_2021,b7bcol1,wlc_unfavoured,employees who put their family or personal needs ahead of their jobs are not looked on favorably.,work-life balance,At my place of employment... Employees who put their family or personal needs ahead of their jobs are not looked on favorably.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can?t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_long_oct_2021,b7bcol1,wlc_unfavoured,employees who put their family or personal needs ahead of their jobs are not looked on favorably.,work-life balance,At my place of employment... Employees who put their family or personal needs ahead of their jobs are not looked on favorably.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
aqwels_trends_nov_2021,b7bcol4,wlc_extra,childless employees are asked to shoulder a heavier workload than employees with children.,work-life balance,At my place of employment... Childless employees are asked to shoulder a heavier workload than employees with children.,"strongly agree, somewhat agree, somewhat disagree, strongly disagree","0, 1, 2, 3"
